pattern,condition,stream_id,stream_seed,system,beta,turn,candidate,weight,operator,target,turn_violations,turn_opportunities
P1-n4,D-independent,0,20260228,uncoupled,0.0,10,3,0.32286821705426355,sigma,1,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,11,0,0.19186046511627916,delta,1,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,11,1,0.08333333333333329,delta,1,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,11,2,0.3624031007751938,delta,1,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,11,3,0.3624031007751938,delta,1,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,12,0,0.29186046511627917,sigma,0,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,12,1,0.0730215827338129,sigma,0,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,12,2,0.317558976074954,sigma,0,0,0
P1-n4,D-independent,0,20260228,uncoupled,0.0,12,3,0.317558976074954,sigma,0,0,0
P1-n4,D-independent,0,20260228,coupled,0.1,1,0,0.15,delta,0,0,0
P1-n4,D-independent,0,20260228,coupled,0.1,1,1,0.2833333333333333,delta,0,0,0
P1-n4,D-independent,0,20260228,coupled,0.1,1,2,0.2833333333333333,delta,0,0,0
P1-n4,D-independent,0,20260228,coupled,0.1,1,3,0.2833333333333333,delta,0,0,0
P1-n4,D-independent,0,20260228,coupled,0.1,2,0,0.12906976744186047,sigma,1,0,0
P1-n4,D-independent,0,20260228,coupled,0.1,2,1,0.3833333333333333,sigma,1,0,0
P1-n4,D-independent,0,20260228,coupled,0.1,2,2,0.24379844961240313,sigma,1,0,0
P1-n4,D-independent,0,20260228,coupled,0.1,2,3,0.24379844961240313,sigma,1,0,0
P1-n4,D-independent,0,20260228,coupled,0.1,3,0,0.15,delta,1,0,0
P1-n4,D-independent,0,20260228,coupled,0.1,3,1,0.2833333333333333,delta,1,0,0
P1-n4,D-independent,0,20260228,coupled,0.1,3,2,0.2833333333333333,delta,1,0,0
P1-n4,D-independent,0,20260228,coupled,0.1,3,3,0.2833333333333333,delta,1,0,0
P1-n4,D-independent,0,20260228,coupled,0.1,4,0,0.17093023255813952,delta,1,0,0
P1-n4,D-independent,0,20260228,coupled,0.1,4,1,0.18333333333333332,delta,1,0,0
P1-n4,D-independent,0,20260228,coupled,0.1,4,2,0.32286821705426355,delta,1,0,0
P1-n4,D-independent,0,20260228,coupled,0.1,4,3,0.32286821705426355,delta,1,0,0
P1-n4,D-independent,0,20260228,coupled,0.1,5,0,0.19186046511627908,delta,1,0,0
P1-n4,D-independent,0,20260228,coupled,0.1,5,1,0.08333333333333331,delta,1,0,0
P1-n4,D-independent,0,20260228,coupled,0.1,5,2,0.36240310077519383,delta,1,0,0
P1-n4,D-independent,0,20260228,coupled,0.1,5,3,0.36240310077519383,delta,1,0,0
P1-n4,D-independent,0,20260228,coupled,0.1,6,0,0.09186046511627918,delta,0,0,0
P1-n4,D-independent,0,20260228,coupled,0.1,6,1,0.09364508393285369,delta,0,0,0
P1-n4,D-independent,0,20260228,coupled,0.1,6,2,0.40724722547543357,delta,0,0,0
P1-n4,D-independent,0,20260228,coupled,0.1,6,3,0.40724722547543357,delta,0,0,0
P1-n4,D-independent,0,20260228,coupled,0.1,7,0,0.1918604651162792,sigma,0,0,0
P1-n4,D-independent,0,20260228,coupled,0.1,7,1,0.0833333333333333,sigma,0,0,0
P1-n4,D-independent,0,20260228,coupled,0.1,7,2,0.3624031007751938,sigma,0,0,0
P1-n4,D-independent,0,20260228,coupled,0.1,7,3,0.3624031007751938,sigma,0,0,0
P1-n4,D-independent,0,20260228,coupled,0.1,8,0,0.09186046511627918,delta,0,0,0
P1-n4,D-independent,0,20260228,coupled,0.1,8,1,0.09364508393285369,delta,0,0,0
P1-n4,D-independent,0,20260228,coupled,0.1,8,2,0.40724722547543357,delta,0,0,0
P1-n4,D-independent,0,20260228,coupled,0.1,8,3,0.40724722547543357,delta,0,0,0
P1-n4,D-independent,0,20260228,coupled,0.1,9,0,0.1918604651162792,sigma,0,0,0
P1-n4,D-independent,0,20260228,coupled,0.1,9,1,0.0833333333333333,sigma,0,0,0
P1-n4,D-independent,0,20260228,coupled,0.1,9,2,0.3624031007751938,sigma,0,0,0
P1-n4,D-independent,0,20260228,coupled,0.1,9,3,0.3624031007751938,sigma,0,0,0
P1-n4,D-independent,0,20260228,coupled,0.1,10,0,0.17093023255813963,sigma,1,0,0
P1-n4,D-independent,0,20260228,coupled,0.1,10,1,0.1833333333333333,sigma,1,0,0
P1-n4,D-independent,0,20260228,coupled,0.1,10,2,0.32286821705426355,sigma,1,0,0
P1-n4,D-independent,0,20260228,coupled,0.1,10,3,0.32286821705426355,sigma,1,0,0
P1-n4,D-independent,0,20260228,coupled,0.1,11,0,0.19186046511627916,delta,1,0,0
P1-n4,D-independent,0,20260228,coupled,0.1,11,1,0.08333333333333329,delta,1,0,0
